tick,10P_x,10P_y,5P_x,5P_y,10PB_x,10PB_y,5PB_x,5PB_y,10B_x,10B_y,5B_x,5B_y,10BG_x,10BG_y,5GB_x,5GB_y,10G_x,10G_y,5G_x,5G_y,10GY_x,10GY_y,5GY_x,5GY_y,10Y_x,10Y_y,5Y_x,5Y_y,10YR_x,10YR_y,5YR_x,5YR_y,10R_x,10R_y,5R_x,5R_y,10RP_x,10RP_y,5RP_x,5RP_y
14,25.610264385810684,285.18345847744285,78.57227308390999,238.79921328274972,136.6724818745258,162.24073535477814,404.9609387797475,396.900233006524,291.206227802831,140.62487788630654,17.463483321529832,166.3167042517335,127.5042211316976,364.3654162912986,334.83976879777043,302.4617740246906,465.5749688749519,191.96997246545786,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,16.555265838135405,451.8074329191464,355.657619864641,355.5732123152084,376.82317432547404,63.72847861592613,293.14141881352,449.0007340379996,457.55273080531174,90.05769043484713,376,203,431.7929146325063,313.1587130962728,249.73130341857166,431.0194296427383,110.33454290931579,162.89073641427092
15,26.296031144424013,284.45563710321636,79.04551882708036,237.91828282773574,136.14293732244627,163.08901748199932,404.4850936556901,396.02070391780046,291.39035044826926,141.60778116305192,18.13477401706657,167.05789842473126,127.5042211316976,364.3654162912986,335.7187528140167,302.938625258498,464.6190464625781,192.26359184751823,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,17.4437223276714,451.34847206438707,354.98630140246325,354.832043291072,377.20361070672726,64.65328570922664,293.1552978171784,448.0008303560095,456.74993657686264,90.65394661030263,376,203,430.9556412136898,312.6119286578117,250.4580439185967,430.33251753364186,110.28970388396145,163.88973063938198
16,26.984710670187795,283.7305712366954,79.54913010812888,237.05435246155992,135.62378627928413,163.94369999286732,404.01266512113307,395.1393349373296,291.56364360744624,142.59265144942594,18.806009388913754,167.7991426999747,127.5042211316976,364.3654162912986,336.6040933822459,303.4035683499056,463.66270391344864,192.5558399077762,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,18.330896320440857,450.88703701310305,354.3102396301778,354.09519834126627,377.57888955621553,65.5801976711339,293.16988649887327,447.00093677648897,455.94922597467166,91.25299796998638,376,203,430.12520562207925,312.0548140123513,251.17872493403277,429.6392507206542,110.25569963202187,164.88915232758472
17,27.67643278082661,283.0084074591121,80.08728153152472,236.2115042869181,135.11565316376274,164.80497854067315,403.54384095743234,394.2560434205978,291.72598968498704,143.57938533001743,19.47720464179812,168.54042330305663,127.5042211316976,364.3654162912986,337.4965211707836,303.85475860051577,462.705931708423,192.84667826097325,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,19.216798651280705,450.4231651986839,353.62865730153925,353.3634569051786,377.9489329634342,66.50921213645402,293.1851434999232,446.00105317130334,455.1506001012211,91.85482578112114,376,203,429.3021002552023,311.4869253304617,251.8931875627559,428.9395771166373,110.23294808376684,165.88889347760906
18,28.37133989931265,282.2893079550952,80.08728153152472,236.2115042869181,134.61873151297434,165.67277395030476,403.07882554404114,393.3707408365574,291.8772832151508,144.56787421095166,20.147324869767427,169.2826758746698,127.5042211316976,364.3654162912986,338.3968323414812,304.2900054223503,461.7487191576483,193.13606404611016,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,20.10189058692553,449.95774897050046,352.940694576541,352.63771088279,378.3136615676261,67.44032600987886,293.2010267392599,445.0011793179057,454.35405895652576,92.45941010510536,376,203,428.48685705896446,310.9078065766746,252.60126731252663,428.2334446446714,110.21834186720335,166.88878680113797
19,29.069822888039607,281.5736812965231,80.08728153152472,236.2115042869181,134.13336414262815,166.54708425894995,402.6178415241099,392.48333239994656,292.0174335403909,145.55800444800892,20.81637876581779,170.0258897632509,127.5042211316976,364.3654162912986,339.30587658523035,304.70670502986934,460.7910542919846,193.42394944878524,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,20.986167680252656,449.49078642144866,352.940694576541,352.63771088279,378.6729945540134,68.37353542094047,293.22014268505006,444.0013620442919,453.55960139039007,93.06672977019925,375.11968253667754,203.47438503746378,427.6757728689085,310.32287714790453,253.30472148653152,427.52270402737486,110.21196902521537,167.8887664943743
20,29.77198008412603,280.8616593361988,80.08728153152472,236.2115042869181,133.659904942457,167.42790000913456,402.1642779355794,391.5921084824268,292.14159749633905,146.55026616350705,21.484375895154436,170.77005361294934,127.5042211316976,364.3654162912986,340.2125330452875,305.1285747531686,459.83265468457824,193.70937928696492,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,21.86962815905091,449.02228073055306,352.2421003291858,351.92219283440664,379.0243818753363,69.30976560119186,293.23977741979184,443.0015548242782,452.7669255288291,93.6763730909193,375.11968253667754,203.47438503746378,426.8736897097578,309.72566478550164,254.001484801154,426.8054029166854,110.21388451146123,168.88876465982884
21,30.477912385469757,280.1533800227076,80.08728153152472,236.2115042869181,133.19869717189275,168.31519217768513,401.7152061850758,390.69861278411616,292.2544947710818,147.54387282882067,22.15132665756627,171.5151554050008,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,458.8737784014378,193.99320365806568,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,22.75226762431789,448.55223012226367,352.2421003291858,351.92219283440664,379.37019693796464,70.24806829353552,293.2626709155647,442.0018169146982,451.9763107933875,94.28868701375833,375.11968253667754,203.47438503746378,426.08185677210497,309.1149270358512,254.69337578978977,426.0834009361863,110.2241780029598,169.88871168044182
22,31.187723267707423,279.4489877233055,80.08728153152472,236.2115042869181,132.7501160718997,169.2089343086877,401.27447486818704,389.8009737105941,292.3560893099102,148.53869871794913,22.817242390978425,172.26118237233788,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,457.9144070805053,194.27535019547543,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,23.634084494929013,448.08063813048943,351.5381114022268,351.21198188636436,379.71035468410525,71.18843668291308,293.28370060483127,441.00203806306683,451.18775195016,94.90364632197945,375.11968253667754,203.47438503746378,425.296631401348,308.49571696073974,255.3768572615216,425.3534330753874,110.24294044726199,170.8885356502904
23,31.901518826803375,278.7486335987264,80.08728153152472,236.2115042869181,132.31454860893967,170.10909039804696,400.83530235844495,388.90257095754464,292.4463663692447,149.53461540751604,23.48213540759787,173.0081209752034,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,456.95453159515466,194.55577675025015,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,24.515072339801396,447.607499232081,351.5381114022268,351.21198188636436,380.04476862106293,72.13086297645994,293.305636962259,440.00227869390704,450.4012424872664,95.52122454761474,375.11968253667754,203.47438503746378,424.518957274886,307.86704935935444,256.0537870685465,424.6173854978755,110.27026427223844,171.88816228488386
24,32.61940777211255,278.0524759569506,80.08728153152472,236.2115042869181,131.89239366667312,171.01561409035727,400.40167101745897,388.0014805846548,292.52533415111225,150.53149257619177,24.146019030446805,173.75595687653,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,455.99414027050426,194.83443156096803,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,25.39522760646392,447.1328133290186,350.83486544147735,350.5010352507513,380.37335083213816,73.07533834965128,293.3255937582876,439.0024778505926,449.61677456464224,96.14139394251724,374.25347197936264,203.97406420492652,423.74249033434984,307.2368913710258,256.7218708776076,423.873299465168,110.30624361949123,172.88751481856318
